Sort Key,Station,Source,Type,Ba137,Ba138,Ca43,Mg24,Mg25,Mg26,Sr86,Sr87,Sr88
164,GJHFR-143A,GJH,FR,0.001291384,0.008335609,0.649848197,2.336592779,0.309408083,0.351900294,0.149582125,0.102500753,1.197837704
165,GJHFR-143A,GJH,FR,0.001299418,0.008417001,0.664530643,2.425786259,0.316676696,0.368576003,0.150232009,0.106115878,1.250559074
166,GJHFR-143A,GJH,FR,0.001287609,0.008638575,0.658798542,2.387398792,0.300515117,0.347419715,0.151340416,0.111140936,1.303194566
167,GJHFR-143A,GJH,FR,0.00137335,0.008756923,0.664322218,2.305146615,0.294557815,0.335693172,0.153385211,0.111867461,1.322545846
168,GJHFR-143A,GJH,FR,0.001392525,0.008780843,0.663752524,2.32991596,0.294003626,0.331320665,0.152618392,0.109036167,1.280219401
169,GJHFR-143A,GJH,FR,0.001489358,0.009444055,0.653686869,2.232979203,0.284640753,0.32619392,0.155212795,0.110913669,1.280501984
170,GJHFR-143A,GJH,FR,0.001641396,0.010339426,0.683669038,2.296290164,0.291883556,0.331147009,0.150499062,0.108535498,1.279275315
171,GJHFR-143A,GJH,FR,0.00175089,0.010973599,0.659213319,2.221995346,0.286845796,0.334010102,0.155703145,0.105197864,1.267533143
172,GJHFR-143A,GJH,FR,0.001802896,0.011452841,0.662343739,2.247516065,0.289752371,0.329447451,0.14754176,0.10588271,1.244358606
173,GJHFR-143A,GJH,FR,0.001729834,0.011352424,0.646982342,2.174736587,0.2776676,0.321460287,0.14355607,0.101668623,1.21179011
174,GJHFR-143A,GJH,FR,0.001849806,0.011682444,0.682050632,2.18754722,0.278818549,0.325061984,0.146412549,0.106080192,1.254795362
175,GJHFR-143A,GJH,FR,0.001848482,0.011412167,0.68777082,2.250273823,0.287408763,0.329886477,0.150178898,0.107626598,1.254843616
176,GJHFR-143A,GJH,FR,0.001709546,0.011219193,0.665279081,2.1675324,0.279568564,0.320725179,0.14703402,0.105659754,1.176046808
177,GJHFR-143A,GJH,FR,0.001674061,0.010637549,0.670686136,2.167849064,0.276897568,0.325381121,0.148935335,0.104473747,1.24304551
178,GJHFR-143A,GJH,FR,0.00164364,0.01057902,0.651332077,2.134704115,0.279551036,0.318578737,0.148561179,0.106813203,1.234539056
179,GJHFR-143A,GJH,FR,0.001651522,0.010529295,0.661877892,2.188965838,0.289264841,0.33008642,0.154325259,0.106450479,1.283871399
180,GJHFR-143A,GJH,FR,0.001598993,0.010021618,0.652074119,2.197482679,0.28453729,0.333309372,0.150124995,0.110328977,1.254159134
181,GJHFR-143A,GJH,FR,0.001641505,0.009964442,0.672471772,2.376213087,0.306737506,0.344241488,0.149789146,0.104010407,1.233693293
182,GJHFR-143A,GJH,FR,0.001551099,0.010107085,0.666048103,2.277667974,0.294103745,0.334623285,0.150744865,0.108836676,1.3043344
183,GJHFR-143A,GJH,FR,0.001601705,0.010032523,0.664197997,2.164459175,0.278246452,0.322693682,0.153585863,0.109686196,1.250135887
184,GJHFR-143A,GJH,FR,0.001622284,0.010386491,0.684768678,2.146342392,0.281629761,0.326514048,0.150052172,0.107925566,1.249751329
185,GJHFR-143A,GJH,FR,0.001632464,0.009840044,0.654110859,2.129645996,0.279784852,0.313210271,0.153260712,0.106935728,1.24022426
186,GJHFR-143A,GJH,FR,0.001618295,0.009933321,0.656160962,2.125656344,0.274453021,0.315111314,0.149706825,0.105044365,1.252952527
187,GJHFR-143A,GJH,FR,0.00162916,0.010353695,0.661676881,2.13092012,0.278579947,0.31796748,0.158568228,0.113525702,1.337905631
188,GJHFR-143A,GJH,FR,0.001575929,0.009536312,0.66286042,2.280744743,0.285813864,0.326729911,0.161191728,0.112797459,1.320091952
189,GJHFR-143B,GJH,FR,0.001646751,0.010172775,0.66951238,2.43800013,0.319426246,0.35747574,0.15134398,0.108067094,1.276663574
190,GJHFR-143B,GJH,FR,0.001679996,0.010368041,0.667958476,2.42377155,0.313366751,0.35825078,0.150834928,0.108800653,1.263514332
191,GJHFR-143B,GJH,FR,0.001830561,0.011799427,0.658512394,2.381917541,0.303885278,0.346682532,0.152556163,0.109919177,1.27319428
